"Name","Title","Description","Version","m.Date","m.Time","Author","Citation"
"build_package","Check and Build Package","Check and Build Package",NA,NA,NA,"Sebastian Kreutzer, IRAMAT-CRP2A, UMR 5060, CNRS - Université Bordeaux Montaigne (France)<br />","Kreutzer, S. (2019). build_package(): Check and Build Package. In: Kreutzer, S., Burow, C. (2019). RLumBuild: RLum Universe Package BuildingR package version 0.1.0.9000-126. https://CRAN.R-project.org/package=RLumBuild
"
"helpers","RLumBuild Helper Functions","Helper functions which are used internally to visualise the console output. Those functions are not in the overivew, but are, however, documented",NA,NA,NA,"Sebastian Kreutzer, IRAMAT-CRP2A, UMR 5060, CNRS - Université Bordeaux Montaigne (France)<br />","Kreutzer, S. (2019). helpers(): RLumBuild Helper Functions. In: Kreutzer, S., Burow, C. (2019). RLumBuild: RLum Universe Package BuildingR package version 0.1.0.9000-126. https://CRAN.R-project.org/package=RLumBuild
"
"module_add_HowToCite","Add How to Cite Section","Adds a section 'How to Cite' to each manual page as long as author names and version numbers are given","0.1.0
",NA,NA,"Christoph Burow, Sebastian Kreutzer, IRAMAT-CRP2A, UMR 5060, CNRS - Université Bordeaux Montaigne (Frange)<br />","Burow, C., Kreutzer, S. (2019). module_add_HowToCite(): Add How to Cite Section. Function version 0.1.0. In: Kreutzer, S., Burow, C. (2019). RLumBuild: RLum Universe Package BuildingR package version 0.1.0.9000-126. https://CRAN.R-project.org/package=RLumBuild
"
"module_add_RLumTeam","Module: add RLum-Team and update version timestamp","Module: add RLum-Team and update version timestamp","0.1.0
",NA,NA,"Sebastian Kreutzer<br />","Kreutzer, S. (2019). module_add_RLumTeam(): Module: add RLum-Team and update version timestamp. Function version 0.1.0. In: Kreutzer, S., Burow, C. (2019). RLumBuild: RLum Universe Package BuildingR package version 0.1.0.9000-126. https://CRAN.R-project.org/package=RLumBuild
"
"module_build_documentation","Module: Build Documentation","Create documentation using roxygen2","0.1.0
",NA,NA,"Sebastian Kreutzer, IRAMAT-CRP2A, UMR 5060, CNRS - Université Bordeaux Montaigne (France)<br />","Kreutzer, S. (2019). module_build_documentation(): Module: Build Documentation. Function version 0.1.0. In: Kreutzer, S., Burow, C. (2019). RLumBuild: RLum Universe Package BuildingR package version 0.1.0.9000-126. https://CRAN.R-project.org/package=RLumBuild
"
"module_check_ReverseDependencies","Check Reverse Dependencies","Check the reverse dependencies of the package","0.1.0
",NA,NA,"Sebastian Kreutzer, IRAMAT-CRP2A, UMR 5060, CNRS - Université Bordeaux Montaigne (France)<br />","Kreutzer, S. (2019). module_check_ReverseDependencies(): Check Reverse Dependencies. Function version 0.1.0. In: Kreutzer, S., Burow, C. (2019). RLumBuild: RLum Universe Package BuildingR package version 0.1.0.9000-126. https://CRAN.R-project.org/package=RLumBuild
"
"module_compile_Attributes","Module: Compile attributes","Module: Compile attributes",NA,NA,NA,NA,NA
"module_create_DependencyGraph","Create Dependency Graph","Create package dependency graph","0.1.0
",NA,NA,"Sebastian Kreutzer, IRAMAT-CRP2A, UMR 5060, CNRS - Université Bordeaux Montaigne (France)<br />","Kreutzer, S. (2019). module_create_DependencyGraph(): Create Dependency Graph. Function version 0.1.0. In: Kreutzer, S., Burow, C. (2019). RLumBuild: RLum Universe Package BuildingR package version 0.1.0.9000-126. https://CRAN.R-project.org/package=RLumBuild
"
"module_knit_NEWS","Module: Knit NEWS","Module: Knit NEWS",NA,NA,NA,NA,NA
"module_knit_README","Module: Knit README","Module: Knit README",NA,NA,NA,NA,NA
"module_set_VersionNumber","Module: set_VersionNumber","Module: set_VersionNumber",NA,NA,NA,NA,NA
"module_verify_ExampleTimings","Verify Example Timings","Check and display the timing results of the example checks to avoid too long example runs.","0.1.0
",NA,NA,"Sebastian Kreutzer, IRAMAT-CRP2A, UMR 5060, CNRS - Université Bordeaux Montaigne (France)<br />","Kreutzer, S. (2019). module_verify_ExampleTimings(): Verify Example Timings. Function version 0.1.0. In: Kreutzer, S., Burow, C. (2019). RLumBuild: RLum Universe Package BuildingR package version 0.1.0.9000-126. https://CRAN.R-project.org/package=RLumBuild
"
"module_write_BibTeX","Create Package BibTeX file","Create Package BibTeX file","0.1.0
",NA,NA,"Sebastian Kreutzer, IRAMAT-CRP2A, UMR 5060, CNRS - Université Bordeaux Montaigne (France)<br />","Kreutzer, S. (2019). module_write_BibTeX(): Create Package BibTeX file. Function version 0.1.0. In: Kreutzer, S., Burow, C. (2019). RLumBuild: RLum Universe Package BuildingR package version 0.1.0.9000-126. https://CRAN.R-project.org/package=RLumBuild
"
"module_write_FunctionList","Write Function Argument List","Create a spread-sheet table with all function arguments  Create a HTML and markdown list of all major functions in the package","0.1.0
",NA,NA,"Christoph Burow, Sebastian Kreutzer, IRAMAT-CRP2A, UMR 5060, CNRS - Université Bordeaux Montaigne (France)<br /> <br /> Sebastian Kreutzer, IRAMAT-CRP2A, UMR 5060, CNRS - Université Bordeaux Montaigne (France)<br />","Burow, C., Kreutzer, S. (2019). module_write_FunctionList(): Write Function Argument List. Function version 0.1.0. In: Kreutzer, S., Burow, C. (2019). RLumBuild: RLum Universe Package BuildingR package version 0.1.0.9000-126. https://CRAN.R-project.org/package=RLumBuild
"
